aar,status,type,beskrivelse,count(*)
2022,"Arbeid utført",Veibane,"Hull i veien - Veibane",2278
2022,"Arbeid utført","Skadet/Påkjørt trafikkskilt","Skilt - Skadet/Påkjørt trafikkskilt",1892
2022,"Arbeid utført","Mørk lampe","Gatelys - Mørk lampe",1681
2022,"Arbeid utført","Annen forsøpling","Søppel - Annen forsøpling",1553
2022,"Arbeid utført","Mørkt område minst 4 stk","Gatelys - Mørkt område minst 4 stk",1227
2022,"Arbeid utført",Veibane,"Brøyting/strøing - Veibane",1046
2022,"Arbeid utført",Fortau,"Brøyting/strøing - Fortau",864
2022,"Arbeid utført",Annet,"Gatelys - Annet",799
2022,"Arbeid utført","Midlertidig skilting","Skilt - Midlertidig skilting",778
2022,"Utbedring bestilt",Fortau,"Brøyting/strøing - Fortau",639
2022,"Arbeid utført","Tur-, gang og sykkelvei","Brøyting/strøing - Tur-, gang og sykkelvei",589
2022,"Utbedring bestilt","Annen forsøpling","Søppel - Annen forsøpling",480
2022,"Utbedring bestilt",Veibane,"Brøyting/strøing - Veibane",447
2022,"Arbeid utført","Fulle søppelkasser","Søppel - Fulle søppelkasser",442
2022,"Arbeid utført","Tett/skadet sluk","Sluk, kummer og lokk - Tett/skadet sluk",407
2022,"Videresendt veidrift",Veibane,"Hull i veien - Veibane",379
2022,"Arbeid utført",Tagging,"Tagging - Tagging",340
2022,"Arbeid utført",Veibane,"Renhold - Veibane",304
2022,"Arbeid utført",Fortau,"Hull i veien - Fortau",298
2022,"Arbeid utført",Fortau,"Renhold - Fortau",298
2022,"Utbedring bestilt","Full beholder","Søppel - Returpunkt glass og metall - Full beholder",292
2022,"Utbedring bestilt","Tur-, gang og sykkelvei","Brøyting/strøing - Tur-, gang og sykkelvei",282
2022,"Arbeid utført",Parkeringsskilt,"Skilt - Parkeringsskilt",279
2022,"Arbeid utført","Overhengende/lave greiner/busker","Trær - Overhengende/lave greiner/busker",252
2022,"Arbeid utført","Hindrer sikt til skilt/signalanlegg","Trær - Hindrer sikt til skilt/signalanlegg",247
2022,"Arbeid utført","Park/friområde","Renhold - Park/friområde",192
2022,"Arbeid utført",Blunker,"Gatelys - Blunker",191
2022,"Arbeid utført",Brekkasje,"Trær - Brekkasje",185
2022,"Utbedring bestilt","Fulle søppelkasser","Søppel - Fulle søppelkasser",173
2022,"Arbeid utført",Risiko,"Trær - Risiko",170
2022,"Arbeid utført","Skadet mast","Gatelys - Skadet mast / stolpe",170
2022,"Utbedring bestilt","Dårlig standard etter gravearbeid","Hull i veien - Dårlig standard etter gravearbeid",169
2022,"Arbeid utført","Hindrer sikt til skilt/signalanlegg","Beskjæring/trimming av trær/busker - Hindrer sikt til skilt/signalanlegg",167
2022,"Utbedring bestilt",Sykkelfelt,"Brøyting/strøing - Sykkelfelt",165
2022,"Arbeid utført","Tur-, gang- og sykkelvei","Renhold - Tur-, gang- og sykkelvei",162
2022,"Arbeid utført",Feil/mangler,"Bymøbel - Feil/mangler",158
2022,Fritekst,"Tur-, gang og sykkelvei","Brøyting/strøing - Tur-, gang og sykkelvei",154
2022,"Arbeid utført","Tur-, gang- og sykkelvei","Hull i veien - Tur-, gang- og sykkelvei",151
2022,Fritekst,"Annen forsøpling","Søppel - Annen forsøpling",150
2022,Duplikat,"Skadet/Påkjørt trafikkskilt","Skilt - Skadet/Påkjørt trafikkskilt",149
2022,"Ikke behandlet","Mørk lampe","Gatelys - Mørk lampe",149
2022,"Arbeid utført","Dårlig standard etter gravearbeid","Hull i veien - Dårlig standard etter gravearbeid",145
2022,"Privat eiendom","Annen forsøpling","Søppel - Annen forsøpling",142
2022,"Arbeid utført","Manglende/skadet gatenavnskilt","Skilt - Manglende/skadet gatenavnskilt",125
2022,"Gårdeiers ansvar","Annen forsøpling","Søppel - Annen forsøpling",125
2022,"Videresendt veidrift","Annen forsøpling","Søppel - Annen forsøpling",125
2022,"Videresendt veidrift",Veibane,"Brøyting/strøing - Veibane",124
2022,"Arbeid utført","Trafikklys - Annet","Trafikklys - Annet",122
2022,"Videresendt veidrift",Fortau,"Hull i veien - Fortau",117
2022,"Arbeid utført","Farlig avfall","Søppel - Farlig avfall",116
2022,"Utbedring bestilt",Veibane,"Renhold - Veibane",116
2022,"Arbeid utført",Bommer,"Bommer - Bommer",115
2022,"Vann- og avløpsetaten","Runde lokk som slår","Sluk, kummer og lokk - Runde lokk som slår",115
2022,"Videresendt parkforvaltning","Tur-, gang og sykkelvei","Brøyting/strøing - Tur-, gang og sykkelvei",112
2022,"Utbedring bestilt","Mørk lampe","Gatelys - Mørk lampe",106
2022,"Arbeid utført","Full beholder","Søppel - Returpunkt glass og metall - Full beholder",102
2022,"Arbeid utført","Lyser på dagen","Gatelys - Lyser på dagen",101
2022,Fritekst,Veibane,"Renhold - Veibane",101
2022,"Statens vegvesen","Tur-, gang og sykkelvei","Brøyting/strøing - Tur-, gang og sykkelvei",99
2022,"Arbeid utført",Sykkelfelt,"Renhold - Sykkelfelt",97
2022,"Arbeid utført","Søppel på holdeplass","Søppel - Søppel på holdeplass",97
2022,Saksbehandles,Parkeringsskilt,"Skilt - Parkeringsskilt",97
2022,Saksbehandles,"Skadet/Påkjørt trafikkskilt","Skilt - Skadet/Påkjørt trafikkskilt",96
2022,Duplikat,"Annen forsøpling","Søppel - Annen forsøpling",95
2022,"Arbeid utført",Sykkelfelt,"Brøyting/strøing - Sykkelfelt",94
2022,"Arbeid utført","Fulle søppelkasser","Holdeplasser - Fulle søppelkasser",93
2022,"Utbedring bestilt","Overhengende/lave greiner/busker","Trær - Overhengende/lave greiner/busker",93
2022,"Utbedring bestilt",Fortau,"Renhold - Fortau",91
2022,"Arbeid utført","Skadet ledning","Gatelys - Skadet ledning",90
2022,"Ikke behandlet","Dårlig standard etter gravearbeid","Hull i veien - Dårlig standard etter gravearbeid",90
2022,"Arbeid utført","Trafikklys - Tidsintervall","Trafikklys - Tidsintervall",86
2022,"Arbeid utført","Greiner skygger for belysning","Gatelys - Greiner skygger for belysning",85
2022,Fritekst,Veibane,"Hull i veien - Veibane",83
2022,"Privat vei","Tur-, gang og sykkelvei","Brøyting/strøing - Tur-, gang og sykkelvei",83
2022,"Videresendt veidrift","Tett/skadet sluk","Sluk, kummer og lokk - Tett/skadet sluk",83
2022,"Ikke behandlet","Annen forsøpling","Søppel - Annen forsøpling",82
2022,"Videresendt veidrift",Fortau,"Brøyting/strøing - Fortau",80
2022,"Arbeid utført","Registrering villfylling/hageavfall","Søppel - Registrering villfylling/hageavfall",77
2022,"Privat vei",Veibane,"Brøyting/strøing - Veibane",75
2022,"Utbedring bestilt",Risiko,"Trær - Risiko",74
2022,Duplikat,"Mørkt område minst 4 stk","Gatelys - Mørkt område minst 4 stk",73
2022,Duplikat,"Tur-, gang og sykkelvei","Brøyting/strøing - Tur-, gang og sykkelvei",72
2022,"Leverandør avfallsekker","Annen forsøpling","Søppel - Annen forsøpling",72
2022,"Arbeid utført","Skadet armatur / lampe","Gatelys - Skadet armatur / lampe",71
2022,"Arbeid utført","Plen/grøntområder","Gressklipping - Plen/grøntområder",70
2022,Duplikat,"Mørk lampe","Gatelys - Mørk lampe",70
2022,"Utbedring bestilt",P-plass,"Brøyting/strøing - P-plass",70
2022,"Arbeid utført","Trafikkøyer og rundkjøringer","Gressklipping - Trafikkøyer og rundkjøringer",69
2022,Duplikat,Veibane,"Brøyting/strøing - Veibane",69
2022,"Videresendt vaktsentralen","Annen forsøpling","Søppel - Annen forsøpling",69
2022,"Arbeid utført",Strandrenhold,"Badeplass - Strandrenhold",68
2022,"Utbedring bestilt","Mørkt område minst 4 stk","Gatelys - Mørkt område minst 4 stk",68
2022,"Videresendt parkforvaltning",Risiko,"Trær - Risiko",68
2022,"Videresendt veidrift",Fortau,"Renhold - Fortau",67
2022,"Arbeid utført","Gjengrodd sti/turvei","Trær - Gjengrodd sti/turvei",66
2022,"Arbeid utført",Sykkelfelt,"Hull i veien - Sykkelfelt",66
2022,"Privat vei",Veibane,"Hull i veien - Veibane",66
2022,"Utbedring bestilt","Registrering villfylling/hageavfall","Søppel - Registrering villfylling/hageavfall",66
2022,"Arbeid utført",Bussbom,"Bommer - Bussbom",65
2022,"Utbedring bestilt","Park/friområde","Renhold - Park/friområde",65
2022,"Videresendt parkforvaltning",Feil/mangler,"Bymøbel - Feil/mangler",65
2022,Fritekst,Fortau,"Renhold - Fortau",64
2022,"Statens vegvesen",Sykkelfelt,"Brøyting/strøing - Sykkelfelt",64
2022,"Utbedring bestilt","Tett/skadet sluk","Sluk, kummer og lokk - Tett/skadet sluk",64
